SRX6957431	TFs and others	FOXL2	Gonad	KGN	58957	50/145	147/256	-4.93022	-1.32655	0.600516
SRX017702	TFs and others	KAT5	Blood	CD4+ T cells	180	6/145	2/256	-1.54321	-0.930143	5.29655
SRX026646	TFs and others	MethylCap	Blood	Acute myeloid leukemia	7687	6/145	2/256	-1.54321	-0.930143	5.29655
SRX026721	TFs and others	GFP	Pancreas	Pancreatic islets	94	6/145	2/256	-1.54321	-0.930143	5.29655
SRX028583	TFs and others	ZNF274	Liver	Hep G2	264	6/145	2/256	-1.54321	-0.930143	5.29655
SRX032877	TFs and others	FOXA2	Liver	Liver	134	6/145	2/256	-1.54321	-0.930143	5.29655
SRX038914	TFs and others	MEIS1	Blood	Hematopoietic Stem Cells	97	6/145	2/256	-1.54321	-0.930143	5.29655
SRX038916	TFs and others	MEIS1	Blood	Hematopoietic Stem Cells	161	6/145	2/256	-1.54321	-0.930143	5.29655
SRX047081	TFs and others	EP300	Prostate	LNCAP	25	6/145	2/256	-1.54321	-0.930143	5.29655
SRX059703	TFs and others	AR	Prostate	VCaP	1566	6/145	2/256	-1.54321	-0.930143	5.29655
SRX062359	TFs and others	NKX3-1	Prostate	LNCAP	715	6/145	2/256	-1.54321	-0.930143	5.29655
SRX077860	TFs and others	CDX2	Digestive tract	COLO 320	223	6/145	2/256	-1.54321	-0.930143	5.29655
SRX088971	TFs and others	Epitope tags	Digestive tract	DLD-1	322	6/145	2/256	-1.54321	-0.930143	5.29655
SRX092447	TFs and others	AR	Prostate	LNCAP	249	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1012537	TFs and others	FOXO1	Blood	B cells	841	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1012651	TFs and others	PGR	Breast	MCF-7	138	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1012691	TFs and others	PGR	Breast	MCF-7	576	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1012702	TFs and others	ESR1	Breast	T-47D	496	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1012753	TFs and others	PGR	Breast	MCF-7	238	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1023794	TFs and others	SPI1	Blood	Macrophages	561	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1027449	TFs and others	CEBPB	Others	Mesenchymal stem cells	12269	6/145	2/256	-1.54321	-0.930143	5.29655
SRX10382430	TFs and others	DNMT3B	Pluripotent stem cell	hESC H1	584	6/145	2/256	-1.54321	-0.930143	5.29655
SRX10406209	TFs and others	Epitope tags	Uterus	HeLa	421	6/145	2/256	-1.54321	-0.930143	5.29655
SRX10406210	TFs and others	Epitope tags	Uterus	HeLa	441	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1048535	TFs and others	ARID2	Liver	Hep G2	89	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1053996	TFs and others	HDAC2	Pluripotent stem cell	iPS cells	316	6/145	2/256	-1.54321	-0.930143	5.29655
SRX10644244	TFs and others	CDT1	Digestive tract	HCT 116	865	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1070164	TFs and others	PIAS1	Breast	MDA-MB-453	350	6/145	2/256	-1.54321	-0.930143	5.29655
SRX107289	TFs and others	TCF12	Blood	CCRF-CEM	155	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1078842	TFs and others	AFF4	Digestive tract	HCT 116	454	6/145	2/256	-1.54321	-0.930143	5.29655
SRX10809336	TFs and others	PSIP1	Neural	DIPG7	388	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1092385	TFs and others	Epitope tags	Blood	K-562	407	6/145	2/256	-1.54321	-0.930143	5.29655
SRX109477	TFs and others	BMI1	Neural	Fetal neural progenitor cells	804	6/145	2/256	-1.54321	-0.930143	5.29655
SRX109480	TFs and others	BMI1	Neural	GBM1-HAM	1088	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11005600	TFs and others	DNMT3B	Breast	MCF10CA1a	1179	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11005602	TFs and others	DNMT3B	Breast	MCF10CA1a	1098	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11005603	TFs and others	DNMT3B	Breast	MCF10CA1a	879	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11005604	TFs and others	DNMT3B	Breast	MCF10CA1a	966	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11005607	TFs and others	POU2F1	Breast	MCF10CA1a	531	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11005612	TFs and others	POU2F1	Breast	MCF10CA1a	530	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11110957	TFs and others	HDAC1	Breast	MCF-7	523	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1112993	TFs and others	LMNB1	Lung	IMR-90	1036	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1112994	TFs and others	LMNB1	Lung	IMR-90	928	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1112996	TFs and others	MAP1LC3B	Lung	IMR-90	1081	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11136876	TFs and others	KMT2D	Blood	THP-1	825	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1123844	TFs and others	SMARCA4	Kidney	G-401	125	6/145	2/256	-1.54321	-0.930143	5.29655
SRX113582	TFs and others	Epitope tags	Kidney	293	151	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1136631	TFs and others	GTF2B	Uterus	HeLa	432	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11384921	TFs and others	TCF7L2	Pluripotent stem cell	iPS derived astrocytes	131	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1140810	TFs and others	EP300	Blood	LP-1	151	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1140811	TFs and others	EP300	Blood	LP-1	157	6/145	2/256	-1.54321	-0.930143	5.29655
SRX115966	TFs and others	ESR1	Breast	MCF-7	602	6/145	2/256	-1.54321	-0.930143	5.29655
SRX115969	TFs and others	ESR1	Breast	MCF-7	649	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1161194	TFs and others	NR3C1	Breast	T-47D	303	6/145	2/256	-1.54321	-0.930143	5.29655
SRX116415	TFs and others	CBX8	Blood	K-562	311	6/145	2/256	-1.54321	-0.930143	5.29655
SRX116456	TFs and others	EZH2	Pluripotent stem cell	hESC H1	278	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1183808	TFs and others	AR	Prostate	C4-2	2662	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11969041	TFs and others	BRD4	Epidermis	Keratinocytes	930	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11969046	TFs and others	BRD4	Epidermis	Keratinocytes	761	6/145	2/256	-1.54321	-0.930143	5.29655
SRX11969047	TFs and others	BRD4	Epidermis	Keratinocytes	616	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1213823	TFs and others	WDR5	Blood	RS4-11	86	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1225019	TFs and others	EPCAM	Uterus	RL95-2	495	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1225020	TFs and others	EPCAM	Uterus	RL95-2	449	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1225021	TFs and others	EPCAM	Uterus	RL95-2	536	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1225022	TFs and others	LEF1	Uterus	RL95-2	270	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1225025	TFs and others	LEF1	Uterus	RL95-2	560	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1293072	TFs and others	TAF15	Kidney	293	48	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1318617	TFs and others	SIX2	Kidney	Kidney Cortex	381	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1457745	TFs and others	RELA	Kidney	293	716	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1478542	TFs and others	SIX2	Kidney	Kidney Cortex	395	6/145	2/256	-1.54321	-0.930143	5.29655
SRX148012	TFs and others	ATF7IP	Epidermis	WM262	97	6/145	2/256	-1.54321	-0.930143	5.29655
SRX150495	TFs and others	ZZZ3	Uterus	HeLa	532	6/145	2/256	-1.54321	-0.930143	5.29655
SRX150562	TFs and others	ZZZ3	Blood	GM12878	663	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1514921	TFs and others	GFP	Kidney	293	279	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1514952	TFs and others	GFP	Kidney	293	446	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1514957	TFs and others	GFP	Kidney	293	355	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1514960	TFs and others	GFP	Kidney	293	884	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1514964	TFs and others	GFP	Kidney	293	703	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1514990	TFs and others	GFP	Kidney	293	270	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1514995	TFs and others	GFP	Kidney	293	689	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1515043	TFs and others	GFP	Kidney	293	418	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1515069	TFs and others	GFP	Kidney	293	430	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1515072	TFs and others	GFP	Kidney	293	353	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1515073	TFs and others	GFP	Kidney	293	344	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1515074	TFs and others	GFP	Kidney	293	396	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1542106	TFs and others	SRPK2	Breast	MCF 10A	121	6/145	2/256	-1.54321	-0.930143	5.29655
SRX155717	TFs and others	HSF1	Breast	BPE	103	6/145	2/256	-1.54321	-0.930143	5.29655
SRX155764	TFs and others	HSF1	Breast	HMEC	297	6/145	2/256	-1.54321	-0.930143	5.29655
SRX156111	TFs and others	DNMT3A	Pluripotent stem cell	NCCIT	164	6/145	2/256	-1.54321	-0.930143	5.29655
SRX156120	TFs and others	DNMT3B	Pluripotent stem cell	NCCIT	287	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1569439	TFs and others	BRD4	Digestive tract	HCT 116	148	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1629234	TFs and others	AR	Prostate	VCaP	3973	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1629235	TFs and others	AR	Prostate	VCaP	2938	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1629242	TFs and others	AR	Prostate	VCaP	2078	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1629243	TFs and others	AR	Prostate	VCaP	5820	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1629244	TFs and others	AR	Prostate	VCaP	7707	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1629250	TFs and others	AR	Prostate	VCaP	2957	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1629831	TFs and others	OVOL2	Others	Epithelium, Corneal	397	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1678204	TFs and others	PAX8	Uterus	FT33	178	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1678214	TFs and others	PAX8	Gonad	JHOS-4	188	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1709971	TFs and others	PGR	Breast	T-47D	338	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1709972	TFs and others	ESR1	Breast	T-47D	360	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1709978	TFs and others	ESR1	Breast	T-47D	355	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1813575	TFs and others	POU5F1	Lung	MRC-5	89	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1813577	TFs and others	POU5F1	Lung	MRC-5	61	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1813603	TFs and others	MYC	Pluripotent stem cell	iPS cells	61	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1823801	TFs and others	BRD4	Bone	Osteoblasts	370	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1835122	TFs and others	ERG	Prostate	RWPE-1	641	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1925740	TFs and others	TRIM28	Pluripotent stem cell	iPS derived neural cells	1765	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1945293	TFs and others	TRIM28	Pluripotent stem cell	hESC WIBR3	2670	6/145	2/256	-1.54321	-0.930143	5.29655
SRX1993439	TFs and others	ZSCAN5B	Placenta	BeWo	349	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2000342	TFs and others	TET3	Breast	MCF-12A	605	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2000343	TFs and others	RARB	Breast	MCF-12A	413	6/145	2/256	-1.54321	-0.930143	5.29655
SRX200046	TFs and others	LMNA	Epidermis	Forearm skin	129	6/145	2/256	-1.54321	-0.930143	5.29655
SRX200052	TFs and others	LMNA	Epidermis	Forearm skin	484	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2007817	TFs and others	KMT2A	Breast	MCF-7	790	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2009503	TFs and others	EZH2	Neural	SF8628	264	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2011494	TFs and others	EZH2	Neural	LAN-1	458	6/145	2/256	-1.54321	-0.930143	5.29655
SRX203390	TFs and others	CDK9	Blood	Plasma Cells	257	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2060921	TFs and others	TP53	Breast	MCF-7	708	6/145	2/256	-1.54321	-0.930143	5.29655
SRX212352	TFs and others	HIF1A	Blood	Macrophages	441	6/145	2/256	-1.54321	-0.930143	5.29655
SRX212360	TFs and others	HIF1A	Blood	Macrophages	492	6/145	2/256	-1.54321	-0.930143	5.29655
SRX212437	TFs and others	ETS1	Blood	Treg	336	6/145	2/256	-1.54321	-0.930143	5.29655
SRX212645	TFs and others	ZFX	Blood	RPMI 8402	509	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2140287	TFs and others	AR	Prostate	LNCAP	559	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2140289	TFs and others	AR	Prostate	LNCAP	541	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2245441	TFs and others	ZEB1	Pancreas	MIA Paca-2	507	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2254546	TFs and others	EP300	Others	BICR 31	63	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2323892	TFs and others	AFF4	Kidney	293	420	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2323894	TFs and others	KMT2A	Kidney	293	359	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2323911	TFs and others	AFF1	Blood	Pre-B cell leukemia	342	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2353649	TFs and others	AR	Prostate	LNCAP	1000	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2373978	TFs and others	TAZ	Digestive tract	SW 480	326	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2417121	TFs and others	Epitope tags	Kidney	293	189	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2430641	TFs and others	TCF4	Neural	SW 1783	190	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2452425	TFs and others	BRD4	Cardiovascular	HUVEC	77	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2464015	TFs and others	EP300	Blood	CD8+ T cells	110	6/145	2/256	-1.54321	-0.930143	5.29655
SRX248932	TFs and others	TAL1	Blood	CD34+	276	6/145	2/256	-1.54321	-0.930143	5.29655
SRX248936	TFs and others	LMO2	Blood	CD34+	280	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2514246	TFs and others	ESR1	Uterus	Carcinoma, Endometrioid	342	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2524363	TFs and others	MYB	Blood	MV-4-11	272	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2529722	TFs and others	Epitope tags	Pluripotent stem cell	hESC H1	544	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2533318	TFs and others	BRF1	Pluripotent stem cell	hESC H9	722	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2545045	TFs and others	SMARCA4	Prostate	LNCAP	496	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2545046	TFs and others	SMARCA4	Prostate	LNCAP	541	6/145	2/256	-1.54321	-0.930143	5.29655
SRX254623	TFs and others	SFMBT1	Uterus	HeLa	93	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2548296	TFs and others	BRD4	Blood	ST1	598	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2548298	TFs and others	BRD4	Blood	ST1	589	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2556709	TFs and others	EZH2	Unclassified	Unclassified	387	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2589939	TFs and others	MPHOSPH8	Blood	K-562	202	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2589940	TFs and others	MPHOSPH8	Blood	K-562	236	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2607385	TFs and others	JUN	Lung	HCC827	627	6/145	2/256	-1.54321	-0.930143	5.29655
SRX266861	TFs and others	SOX2	Pluripotent stem cell	hESC HUES64	476	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2704966	TFs and others	GFP	Neural	Retina	261	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2708826	TFs and others	RUVBL2	Liver	HuH-7	84	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2731519	TFs and others	NCAPH2	Kidney	293	132	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2731713	TFs and others	SOX2	Lung	Lung cancer cell line	1197	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2732209	TFs and others	POU5F1	Lung	MRC-5	116	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2732211	TFs and others	SOX2	Lung	MRC-5	118	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2732212	TFs and others	KLF4	Lung	MRC-5	149	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2744652	TFs and others	STAT5A	Digestive tract	DLD-1	189	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2749155	TFs and others	ARNT	Kidney	OS-RC-2	196	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2841999	TFs and others	NUP153	Blood	K-562	619	6/145	2/256	-1.54321	-0.930143	5.29655
SRX285808	TFs and others	TP53	Breast	MCF-7	306	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2858139	TFs and others	YAP1	Liver	BEL-7402	519	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2858141	TFs and others	YAP1	Liver	BEL-7402	555	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2880132	TFs and others	KMT2C	Breast	CAL-51	438	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897198	TFs and others	ESR1	Breast	Breast cancer cells	444	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897207	TFs and others	ESR1	Breast	Breast cancer cells	896	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897216	TFs and others	ESR1	Breast	Breast cancer cells	2377	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897222	TFs and others	ESR1	Breast	Breast cancer cells	626	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897223	TFs and others	ESR1	Breast	Breast cancer cells	703	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897225	TFs and others	ESR1	Breast	Breast cancer cells	552	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897226	TFs and others	ESR1	Breast	Breast cancer cells	701	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897227	TFs and others	ESR1	Breast	Breast cancer cells	502	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897229	TFs and others	ESR1	Breast	Breast cancer cells	546	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897230	TFs and others	ESR1	Breast	Breast cancer cells	876	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897234	TFs and others	ESR1	Breast	Breast cancer cells	763	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2897235	TFs and others	ESR1	Breast	Breast cancer cells	803	6/145	2/256	-1.54321	-0.930143	5.29655
SRX2963103	TFs and others	TET2	Blood	PBMC	11599	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3070468	TFs and others	NR3C1	Breast	MCF 10A	106	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3070470	TFs and others	NR3C1	Breast	MCF 10A	225	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3070472	TFs and others	NR3C1	Breast	MCF 10A	477	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3103118	TFs and others	SIRT6	Epidermis	SK-MEL-239	624	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3148642	TFs and others	DNMT1	Lung	HBEC3-KT	579	6/145	2/256	-1.54321	-0.930143	5.29655
SRX315155	TFs and others	AR	Prostate	LNCAP	273	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3203623	TFs and others	MPHOSPH8	Pluripotent stem cell	ES cells	1109	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3203624	TFs and others	MPHOSPH8	Pluripotent stem cell	ES cells	1022	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3203626	TFs and others	MORC2	Pluripotent stem cell	ES cells	913	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3229130	TFs and others	FOXA1	Breast	Breast cancer	324	6/145	2/256	-1.54321	-0.930143	5.29655
SRX323403	TFs and others	SPDEF	Breast	MCF-7	207	6/145	2/256	-1.54321	-0.930143	5.29655
SRX326881	TFs and others	ERG	Prostate	VCaP	769	6/145	2/256	-1.54321	-0.930143	5.29655
SRX326889	TFs and others	ERG	Blood	Jurkat	481	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3292069	TFs and others	GATA3	Pluripotent stem cell	hESC derived trophoblast cells	5821	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3324963	TFs and others	EP300	Lung	IMR-90	797	6/145	2/256	-1.54321	-0.930143	5.29655
SRX334257	TFs and others	AR	Unclassified	Unclassified	731	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3366957	TFs and others	HOXB13	Prostate	LNCAP	2994	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3366975	TFs and others	AR	Prostate	LNCAP	796	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3366987	TFs and others	AR	Prostate	LNCAP	1084	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3366989	TFs and others	AR	Prostate	LNCAP	942	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3367138	TFs and others	BRD4	Epidermis	Foreskin	2700	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3401278	TFs and others	HDAC3	Breast	MCF-7	316	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3417627	TFs and others	VDR	Digestive tract	Colonic organoids	681	6/145	2/256	-1.54321	-0.930143	5.29655
SRX342211	TFs and others	BRD4	Kidney	293	229	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3428654	TFs and others	ESR1	Breast	MCF-7	437	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3468023	TFs and others	SUZ12	Others	Aska	1749	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3468034	TFs and others	SMARCC1	Muscle	SYO1	873	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3474302	TFs and others	AR	Prostate	LNCAP	286	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3506183	TFs and others	Pan-acetyllysine	Liver	Hep G2	218	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3520282	TFs and others	ATR	Digestive tract	HCT 116	575	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3520285	TFs and others	ATR	Digestive tract	HCT 116	703	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3584194	TFs and others	AR	Gonad	Epididymis	45	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3586325	TFs and others	NR3C1	Blood	Monocytes	717	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3587640	TFs and others	MYC	Kidney	G-401	1169	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3587645	TFs and others	MYC	Kidney	G-401	1137	6/145	2/256	-1.54321	-0.930143	5.29655
SRX359823	TFs and others	EVX1	Digestive tract	LoVo	64	6/145	2/256	-1.54321	-0.930143	5.29655
SRX359840	TFs and others	HNF1B	Digestive tract	LoVo	217	6/145	2/256	-1.54321	-0.930143	5.29655
SRX359847	TFs and others	HOXD4	Digestive tract	LoVo	126	6/145	2/256	-1.54321	-0.930143	5.29655
SRX359848	TFs and others	HOXD9	Digestive tract	LoVo	222	6/145	2/256	-1.54321	-0.930143	5.29655
SRX359852	TFs and others	IRF4	Digestive tract	LoVo	268	6/145	2/256	-1.54321	-0.930143	5.29655
SRX359855	TFs and others	ISL2	Digestive tract	LoVo	318	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3599225	TFs and others	SUZ12	Blood	KG-1	891	6/145	2/256	-1.54321	-0.930143	5.29655
SRX359996	TFs and others	ELF4	Digestive tract	LoVo	441	6/145	2/256	-1.54321	-0.930143	5.29655
SRX359997	TFs and others	FOSL1	Digestive tract	LoVo	319	6/145	2/256	-1.54321	-0.930143	5.29655
SRX360001	TFs and others	GRHL2	Digestive tract	LoVo	302	6/145	2/256	-1.54321	-0.930143	5.29655
SRX360015	TFs and others	MYNN	Digestive tract	LoVo	82	6/145	2/256	-1.54321	-0.930143	5.29655
SRX360039	TFs and others	SKI	Digestive tract	LoVo	373	6/145	2/256	-1.54321	-0.930143	5.29655
SRX360040	TFs and others	SNAPC4	Digestive tract	LoVo	307	6/145	2/256	-1.54321	-0.930143	5.29655
SRX360052	TFs and others	ZBTB4	Digestive tract	LoVo	299	6/145	2/256	-1.54321	-0.930143	5.29655
SRX361884	TFs and others	KLF5	Digestive tract	LoVo	211	6/145	2/256	-1.54321	-0.930143	5.29655
SRX361891	TFs and others	MYC	Digestive tract	LoVo	370	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3630671	TFs and others	FOXO3	Pluripotent stem cell	iPS derived neural cells	426	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3630677	TFs and others	FOXO3	Pluripotent stem cell	iPS derived neural cells	35	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3630678	TFs and others	FOXO3	Pluripotent stem cell	iPS derived neural cells	39	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3630682	TFs and others	FOXO3	Pluripotent stem cell	iPS derived neural cells	561	6/145	2/256	-1.54321	-0.930143	5.29655
SRX367452	TFs and others	Epitope tags	Neural	LN-229	230	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3679902	TFs and others	KMT2D	Epidermis	Keratinocytes	696	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3737112	TFs and others	SLBP	Kidney	293	275	6/145	2/256	-1.54321	-0.930143	5.29655
SRX373874	TFs and others	SOX11	Blood	GRANTA-519	276	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3739734	TFs and others	Epitope tags	Others	B-CPAP	177	6/145	2/256	-1.54321	-0.930143	5.29655
SRX378126	TFs and others	SMAD2	Pluripotent stem cell	hESC WA09	336	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3781812	TFs and others	Epitope tags	Digestive tract	HCT 116	370	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3847778	TFs and others	SMAD2	Cardiovascular	Aortic smooth muscle cells	248	6/145	2/256	-1.54321	-0.930143	5.29655
SRX386761	TFs and others	SMARCC1	Breast	MCF-7	70	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3873709	TFs and others	AFF1	Lung	SW 1271	430	6/145	2/256	-1.54321	-0.930143	5.29655
SRX3873713	TFs and others	AFF4	Lung	SW 1271	428	6/145	2/256	-1.54321	-0.930143	5.29655
