SRX2207918	TFs and others	ATF3	Epidermis	CS1AN	30101	290/344	189/299	-9.03666	-4.91946	1.33367
SRX6743810	TFs and others	CHD6	Pluripotent stem cell	iPS cells	1110	10/344	18/299	-1.0994	-0.245524	0.482881
SRX8807170	TFs and others	MED1	Blood	Mono-Mac-6	1472	10/344	18/299	-1.0994	-0.245524	0.482881
SRX3110743	TFs and others	ESR1	Breast	MCF-7	56440	139/344	142/299	-1.09937	-0.245524	0.850823
SRX356561	TFs and others	CTCF	Blood	GM18505	32627	106/344	112/299	-1.09727	-0.245524	0.822623
SRX395617	TFs and others	CTCF	Breast	T-47D	36038	106/344	112/299	-1.09727	-0.245524	0.822623
SRX8570944	TFs and others	HAP1	Blood	KBM-7	38361	106/344	112/299	-1.09727	-0.245524	0.822623
SRX014752	TFs and others	RARA	Blood	NB-4	1501	5/344	11/299	-1.09703	-0.245524	0.395085
SRX10119138	TFs and others	RUNX1	Blood	MV-4-11	3555	5/344	11/299	-1.09703	-0.245524	0.395085
SRX102985	TFs and others	MYC	Uterus	HeLa	1023	5/344	11/299	-1.09703	-0.245524	0.395085
SRX10365550	TFs and others	NCOA3	Breast	MCF-7	6804	5/344	11/299	-1.09703	-0.245524	0.395085
SRX1878903	TFs and others	MYCN	Muscle	Rh-4	786	5/344	11/299	-1.09703	-0.245524	0.395085
SRX2143792	TFs and others	MYC	Bone	HT-1080	1189	5/344	11/299	-1.09703	-0.245524	0.395085
SRX5234472	TFs and others	SMARCA4	Pluripotent stem cell	iPS cells	6577	5/344	11/299	-1.09703	-0.245524	0.395085
SRX6764991	TFs and others	WDR5	Digestive tract	LoVo	1765	5/344	11/299	-1.09703	-0.245524	0.395085
SRX9298943	TFs and others	NR3C1	Lung	Lung cancer cell line	2450	5/344	11/299	-1.09703	-0.245524	0.395085
SRX10045364	TFs and others	ASXL1	Blood	THP-1	11513	162/344	120/299	-1.09649	-0.245524	1.1734
SRX250093	TFs and others	FOXA1	Breast	MDA-MB-453	62978	256/344	203/299	-1.09644	-0.245524	1.09612
SRX190257	TFs and others	RAD21	Uterus	ECC-1	37415	88/344	96/299	-1.09644	-0.245524	0.796754
SRX8670123	TFs and others	ASCL1	Neural	SH-SY5Y	57262	165/344	122/299	-1.09628	-0.245524	1.17554
SRX190239	TFs and others	GATA3	Breast	MCF-7	39727	74/344	83/299	-1.0959	-0.245524	0.774937
SRX5203308	TFs and others	CTCF	Breast	MCF-7	11142	26/344	35/299	-1.0957	-0.245524	0.645681
SRX6175626	TFs and others	FLI1	Bone	TC-71	17237	26/344	35/299	-1.0957	-0.245524	0.645681
SRX4046307	TFs and others	MEN1	Blood	Erythroblasts	6594	108/344	75/299	-1.09514	-0.245524	1.25163
SRX1758496	TFs and others	NELFE	Breast	MCF-7	5559	93/344	63/299	-1.09362	-0.245524	1.28308
SRX6780893	TFs and others	CREB1	Pluripotent stem cell	iPS derived neural cells	5266	93/344	63/299	-1.09362	-0.245524	1.28308
SRX150640	TFs and others	USF2	Uterus	HeLa	9231	53/344	62/299	-1.09353	-0.245524	0.743014
SRX3734319	TFs and others	TP63	Breast	Mammary glands	32922	53/344	62/299	-1.09353	-0.245524	0.743014
SRX5514007	TFs and others	FOS	Uterus	Myometrium	3954	17/344	26/299	-1.09341	-0.245524	0.568314
SRX6027682	TFs and others	ESR1	Uterus	Ishikawa	9098	17/344	26/299	-1.09341	-0.245524	0.568314
SRX6614747	TFs and others	SMC3	Lung	IMR-90	8281	17/344	26/299	-1.09341	-0.245524	0.568314
SRX6949258	TFs and others	GFP	Uterus	HeLa	8920	17/344	26/299	-1.09341	-0.245524	0.568314
SRX5287711	TFs and others	Biotin	Breast	MCF-7	3051	28/344	14/299	-1.09309	-0.245524	1.73837
SRX150664	TFs and others	FOS	Cardiovascular	HUVEC	33440	63/344	72/299	-1.09264	-0.245524	0.760538
SRX9599279	TFs and others	REST	Uterus	HEC-1-B	5152	61/344	38/299	-1.09231	-0.245524	1.39527
SRX150722	TFs and others	MYC	Blood	NB-4	27668	147/344	149/299	-1.09159	-0.245524	0.857519
SRX1041800	TFs and others	RUNX1	Blood	Jurkat	7021	24/344	11/299	-1.09147	-0.245524	1.89641
SRX1177904	TFs and others	LARP7	Digestive tract	HCT 116	5397	24/344	11/299	-1.09147	-0.245524	1.89641
SRX1492212	TFs and others	RUNX1	Blood	Jurkat	7020	24/344	11/299	-1.09147	-0.245524	1.89641
SRX4786552	TFs and others	TET2	Breast	MCF-7	1328	24/344	11/299	-1.09147	-0.245524	1.89641
SRX5289964	TFs and others	NR3C1	Lung	BEAS-2B	3800	24/344	11/299	-1.09147	-0.245524	1.89641
SRX5394928	TFs and others	ATOH1	Epidermis	MKL-1	10197	24/344	11/299	-1.09147	-0.245524	1.89641
SRX6867663	TFs and others	RUNX1	Pluripotent stem cell	hESC H9	2361	24/344	11/299	-1.09147	-0.245524	1.89641
SRX5359052	TFs and others	RORC	Breast	HCC70	15451	110/344	76/299	-1.09125	-0.245524	1.25803
SRX9730737	TFs and others	CPSF3L	Blood	THP-1	16114	196/344	149/299	-1.09112	-0.245524	1.14336
SRX3020591	TFs and others	Epitope tags	Kidney	293	2515	40/344	22/299	-1.08999	-0.24547	1.58034
SRX8907435	TFs and others	MTA2	Muscle	Rh-5	9410	53/344	32/299	-1.08955	-0.24547	1.43959
SRX356732	TFs and others	CTCF	Blood	Lymphoblastoid cell line	31909	109/344	115/299	-1.08924	-0.24547	0.823837
SRX1491252	TFs and others	TCF4	Blood	GEN2.2	48362	174/344	130/299	-1.08889	-0.24547	1.16337
SRX5718164	TFs and others	RAD21	Kidney	293	25762	189/344	143/299	-1.08745	-0.24547	1.14878
SRX8299819	TFs and others	CTR9	Bone	U2OS	628	16/344	6/299	-1.08724	-0.24547	2.31783
SRX150369	TFs and others	SIN3A	Pluripotent stem cell	hESC H1	16780	180/344	135/299	-1.08718	-0.24547	1.15891
SRX1134746	TFs and others	BRD4	Blood	MV-4-11	24365	182/344	137/299	-1.08637	-0.24547	1.15469
SRX3852898	TFs and others	NELFA	Blood	K-562	12018	182/344	137/299	-1.08637	-0.24547	1.15469
SRX1136629	TFs and others	GTF2B	Uterus	HeLa	792	13/344	4/299	-1.08634	-0.24547	2.82485
SRX392785	TFs and others	REST	Blood	GM12878	2639	13/344	4/299	-1.08634	-0.24547	2.82485
SRX3800331	TFs and others	STAG1	Others	RT-112	29027	234/344	183/299	-1.0863	-0.24547	1.11142
SRX3040157	TFs and others	STAG2	Cardiovascular	Coronary artery endothelial cells	22086	75/344	83/299	-1.0863	-0.24547	0.785409
SRX4958407	TFs and others	CTCF	Kidney	293	27257	75/344	83/299	-1.0863	-0.24547	0.785409
SRX1726515	TFs and others	E2F1	Blood	MM.1S	5900	111/344	77/299	-1.08596	-0.24547	1.25298
SRX424010	TFs and others	KDM4C	Digestive tract	KYSE-150	10469	183/344	138/299	-1.08576	-0.24547	1.15262
DRX300415	TFs and others	JADE3	Kidney	293	11306	177/344	133/299	-1.08545	-0.24547	1.15674
SRX4404395	TFs and others	MYCN	Prostate	LNCAP	12003	177/344	133/299	-1.08545	-0.24547	1.15674
SRX150378	TFs and others	MAX	Lung	A549	6190	54/344	63/299	-1.08474	-0.24547	0.745017
SRX3478025	TFs and others	CTCF	Uterus	HeLa	19580	54/344	63/299	-1.08474	-0.24547	0.745017
SRX356593	TFs and others	STAG1	Blood	GM18526	22021	54/344	63/299	-1.08474	-0.24547	0.745017
SRX356594	TFs and others	STAG1	Blood	GM18526	21316	54/344	63/299	-1.08474	-0.24547	0.745017
SRX7202547	TFs and others	CTCF	Uterus	HEC-1-B	20672	54/344	63/299	-1.08474	-0.24547	0.745017
SRX029435	TFs and others	RUNX1	Blood	CD34+	3452	34/344	18/299	-1.08449	-0.24547	1.6418
SRX5877911	TFs and others	Epitope tags	Bone	U2OS	62329	312/344	258/299	-1.08424	-0.24547	1.05111
SRX5089449	TFs and others	ESR1	Breast	MCF-7	14206	32/344	41/299	-1.08424	-0.24547	0.678389
SRX7427135	TFs and others	SMC3	Blood	CUTLL1	14389	32/344	41/299	-1.08424	-0.24547	0.678389
SRX3751769	TFs and others	BRD3	Adipocyte	LPS141	3205	47/344	27/299	-1.08416	-0.24547	1.51303
SRX5668135	TFs and others	KMT2A	Blood	IMS-M2	2753	47/344	27/299	-1.08416	-0.24547	1.51303
SRX6102133	TFs and others	NELFE	Uterus	HeLa	14465	185/344	140/299	-1.08415	-0.24547	1.14857
ERX1149050	TFs and others	CTCF	Blood	MEG-01	36109	111/344	117/299	-1.08323	-0.244778	0.824612
SRX6027697	TFs and others	ESR1	Uterus	Ishikawa	8218	96/344	65/299	-1.08164	-0.243438	1.28372
SRX1555434	TFs and others	MITF	Epidermis	501A	33589	76/344	84/299	-1.08114	-0.243438	0.786406
SRX718420	TFs and others	Epitope tags	Epidermis	501A	33615	76/344	84/299	-1.08114	-0.243438	0.786406
SRX11399797	TFs and others	HDAC1	Lung	NCI-H1963	6864	112/344	78/299	-1.08057	-0.243438	1.24806
SRX9779519	TFs and others	HDAC1	Lung	NCI-H1963	6872	112/344	78/299	-1.08057	-0.243438	1.24806
SRX1726514	TFs and others	TFDP1	Blood	MM.1S	7635	132/344	95/299	-1.08052	-0.243438	1.20771
SRX129111	TFs and others	MAX	Lung	NCI-H2171	48835	279/344	225/299	-1.07711	-0.240311	1.07779
SRX4377531	TFs and others	BRD2	Breast	MDA-MB-231	9503	135/344	97/299	-1.07671	-0.240311	1.20969
SRX5246885	TFs and others	SMARCA4	Pluripotent stem cell	iPS derived neural cells	30056	135/344	97/299	-1.07671	-0.240311	1.20969
SRX2017938	TFs and others	FOXA1	Prostate	22Rv1	40769	77/344	85/299	-1.07587	-0.239926	0.78738
SRX5323875	TFs and others	ESR1	Breast	MCF-7	10929	22/344	31/299	-1.07587	-0.239926	0.616842
SRX1690213	TFs and others	MYCN	Neural	NGP	4286	27/344	36/299	-1.075	-0.239283	0.65189
SRX6913099	TFs and others	BRD4	Blood	CD4+ T cells	11082	113/344	118/299	-1.07476	-0.23927	0.832356
SRX190230	TFs and others	CTCF	Uterus	ECC-1	16417	39/344	48/299	-1.07448	-0.239217	0.706214
ERX2868710	TFs and others	CTCF	Lung	A549	36314	114/344	119/299	-1.07291	-0.238101	0.832666
SRX1091824	TFs and others	CTCF	Breast	MCF-7	46178	114/344	119/299	-1.07291	-0.238101	0.832666
SRX3584202	TFs and others	CEBPB	Gonad	Epididymis	37004	93/344	100/299	-1.07239	-0.237807	0.808343
SRX1091549	TFs and others	TFAP2A	Pluripotent stem cell	hESC derived neural crests	33580	229/344	179/299	-1.07093	-0.236802	1.11198
SRX7061820	TFs and others	MED12	Blood	SEM	29959	229/344	179/299	-1.07093	-0.236802	1.11198
SRX3447355	TFs and others	ESR1	Breast	MCF-7	35820	78/344	86/299	-1.07048	-0.236802	0.788332
SRX7427512	TFs and others	ESR1	Breast	MCF-7	32239	78/344	86/299	-1.07048	-0.236802	0.788332
SRX154499	TFs and others	CTCF	Prostate	LNCAP	26333	66/344	75/299	-1.06925	-0.235864	0.764884
SRX3960591	TFs and others	MYC	Muscle	Rhabdomyosarcoma	1928	14/344	22/299	-1.06909	-0.235864	0.553118
SRX026719	TFs and others	CTCF	Pancreas	Pancreatic islets	15298	47/344	56/299	-1.06862	-0.235646	0.729495
SRX9867024	TFs and others	BCL11B	Blood	TALL-1	29842	250/344	198/299	-1.06842	-0.235646	1.09746
SRX080328	TFs and others	CTCF	Breast	HMF	31711	79/344	87/299	-1.06499	-0.232672	0.789261
SRX4342283	TFs and others	AHR	Blood	GM17212	3177	48/344	28/299	-1.06461	-0.232672	1.49003
SRX9498738	TFs and others	GTF2B	Blood	K-562	3858	48/344	28/299	-1.06461	-0.232672	1.49003
SRX666557	TFs and others	ARNT	Breast	T-47D	40225	249/344	197/299	-1.06432	-0.232672	1.09862
SRX4377560	TFs and others	BRD9	Breast	MDA-MB-231	18475	95/344	102/299	-1.06432	-0.232672	0.809536
SRX813769	TFs and others	MED1	Adipocyte	SGBS	12629	115/344	81/299	-1.06384	-0.232417	1.23403
SRX1477655	TFs and others	Epitope tags	Lung	MRC-5	14351	74/344	48/299	-1.06195	-0.231176	1.34
SRX2436023	TFs and others	NEUROD1	Neural	D283 Med	21775	74/344	48/299	-1.06195	-0.231176	1.34
SRX6175594	TFs and others	RAD21	Bone	A-673	20229	40/344	49/299	-1.06178	-0.231176	0.70954
SRX2281255	TFs and others	KMT2A	Unclassified	Unclassified	17961	141/344	102/299	-1.0617	-0.231176	1.20152
SRX3468012	TFs and others	ARID2	Others	Aska	3062	56/344	34/299	-1.05956	-0.229887	1.4316
SRX1629256	TFs and others	ERG	Prostate	VCaP	2818	18/344	26/299	-1.05929	-0.229887	0.601744
SRX5534866	TFs and others	GATA3	Breast	MCF-7	1258	18/344	26/299	-1.05929	-0.229887	0.601744
SRX6614763	TFs and others	RAD21	Lung	IMR-90	7999	18/344	26/299	-1.05929	-0.229887	0.601744
SRX8901414	TFs and others	RAD21	Neural	hTERT RPE-1	9309	18/344	26/299	-1.05929	-0.229887	0.601744
SRX5287710	TFs and others	Biotin	Breast	MCF-7	4012	30/344	15/299	-1.05859	-0.22941	1.73837
SRX1334497	TFs and others	MYC	Prostate	LNCAP	1094	8/344	15/299	-1.05753	-0.229021	0.463566
SRX1552473	TFs and others	MYC	Bone	U2OS	1522	8/344	15/299	-1.05753	-0.229021	0.463566
SRX3581511	TFs and others	CHD7	Pluripotent stem cell	iPS derived neural cells	15336	8/344	15/299	-1.05753	-0.229021	0.463566
SRX4611718	TFs and others	ESR1	Breast	MCF-7	38634	121/344	125/299	-1.05477	-0.226484	0.841372
SRX1514956	TFs and others	GFP	Kidney	293	2089	35/344	19/299	-1.05373	-0.226084	1.60113
SRX190345	TFs and others	CEBPB	Breast	MCF-7	28067	81/344	89/299	-1.0537	-0.226084	0.791057
SRX3110739	TFs and others	ESR1	Breast	MCF-7	30363	81/344	89/299	-1.0537	-0.226084	0.791057
SRX334243	TFs and others	E2F1	Unclassified	Unclassified	6687	119/344	84/299	-1.05136	-0.224879	1.23135
SRX4313218	TFs and others	RAD21	Muscle	RH-4	11057	23/344	32/299	-1.04994	-0.224879	0.624727
SRX5287698	TFs and others	ESR1	Breast	MCF-7	13451	23/344	32/299	-1.04994	-0.224879	0.624727
SRX7054994	TFs and others	ERG	Cardiovascular	HAEC	4141	23/344	32/299	-1.04994	-0.224879	0.624727
SRX10119396	TFs and others	JUNB	Breast	MDA-MB-231	24949	41/344	50/299	-1.04918	-0.224879	0.712733
SRX2609664	TFs and others	NR3C1	Lung	HASM2	32089	41/344	50/299	-1.04918	-0.224879	0.712733
SRX9468650	TFs and others	AR	Prostate	LNCAP	50785	41/344	50/299	-1.04918	-0.224879	0.712733
SRX080130	TFs and others	MYC	Blood	GM12878	506	2/344	7/299	-1.04828	-0.224879	0.248339
SRX104409	TFs and others	GATA3	Breast	MCF-7	2706	2/344	7/299	-1.04828	-0.224879	0.248339
SRX1067063	TFs and others	FOXA1	Prostate	Prostate cancer cells	3602	2/344	7/299	-1.04828	-0.224879	0.248339
SRX3292079	TFs and others	TFAP2C	Pluripotent stem cell	hESC derived trophoblast cells	1752	2/344	7/299	-1.04828	-0.224879	0.248339
SRX3517828	TFs and others	NR3C1	Lung	A549	2941	2/344	7/299	-1.04828	-0.224879	0.248339
SRX4170712	TFs and others	WDR5	Blood	K-562	1352	2/344	7/299	-1.04828	-0.224879	0.248339
SRX4941318	TFs and others	XBP1	Prostate	LNCAP	617	2/344	7/299	-1.04828	-0.224879	0.248339
SRX5077402	TFs and others	CEBPB	Liver	Hep G2	778	2/344	7/299	-1.04828	-0.224879	0.248339
SRX5089530	TFs and others	SMARCA4	Breast	MCF-7	1533	2/344	7/299	-1.04828	-0.224879	0.248339
SRX6487050	TFs and others	FOXA1	Breast	MCF-7	5431	2/344	7/299	-1.04828	-0.224879	0.248339
SRX866613	TFs and others	GATA3	Neural	SH-SY5Y	3695	2/344	7/299	-1.04828	-0.224879	0.248339
SRX9674615	TFs and others	FOXO1	Muscle	RH-30	1905	2/344	7/299	-1.04828	-0.224879	0.248339
SRX3345952	TFs and others	CPSF3L	Blood	HL-60	6676	102/344	70/299	-1.04791	-0.22473	1.26653
ERX1149112	TFs and others	CTCF	Unclassified	Unclassified	31261	99/344	105/299	-1.04661	-0.22407	0.819518
SRX4367421	TFs and others	TBP	Lung	Bronchial tracheal epithelial cells	1569	25/344	12/299	-1.04578	-0.22407	1.8108
SRX7213082	TFs and others	PAF1	Bone	U2OS	1962	25/344	12/299	-1.04578	-0.22407	1.8108
SRX475779	TFs and others	REST	Blood	GM12878	4208	21/344	9/299	-1.0452	-0.22407	2.0281
SRX6780870	TFs and others	CREB1	Pluripotent stem cell	iPS derived neural cells	9555	149/344	109/299	-1.04468	-0.22407	1.18815
SRX190312	TFs and others	FOXM1	Uterus	ECC-1	5682	11/344	18/299	-1.04461	-0.22407	0.531169
SRX2513525	TFs and others	ESR1	Breast	MCF-7	6567	11/344	18/299	-1.04461	-0.22407	0.531169
SRX4781489	TFs and others	BRD3	Blood	Acute myeloid leukemia	1200	11/344	18/299	-1.04461	-0.22407	0.531169
SRX5203305	TFs and others	CTCF	Breast	MCF-7	6508	11/344	18/299	-1.04461	-0.22407	0.531169
SRX5486429	TFs and others	ZIC5	Digestive tract	HCT 116	1838	11/344	18/299	-1.04461	-0.22407	0.531169
SRX6913041	TFs and others	BRD2	Blood	THP-1	1315	11/344	18/299	-1.04461	-0.22407	0.531169
SRX7054944	TFs and others	ERG	Cardiovascular	HAEC	3138	11/344	18/299	-1.04461	-0.22407	0.531169
SRX10637291	TFs and others	KDM1A	Breast	MDA-MB-231	3761	42/344	24/299	-1.0418	-0.223341	1.52108
SRX6367582	TFs and others	NCOA1	Kidney	293	17928	42/344	24/299	-1.0418	-0.223341	1.52108
SRX9550926	TFs and others	FOXA1	Prostate	Prostate cancer	41521	148/344	109/299	-1.0408	-0.223341	1.18018
SRX190190	TFs and others	CTCF	Breast	MCF-7	44976	101/344	107/299	-1.04048	-0.223341	0.820447
SRX5391680	TFs and others	SMC3	Blood	Neutrophils	19658	151/344	111/299	-1.0403	-0.223341	1.18241
SRX080355	TFs and others	CTCF	Blood	GM12872	19919	59/344	68/299	-1.04023	-0.223341	0.754147
SRX3124392	TFs and others	BRD4	Neural	KELLY	9378	59/344	68/299	-1.04023	-0.223341	0.754147
ERX2868711	TFs and others	CTCF	Lung	BEAS-2B	27545	83/344	90/299	-1.04018	-0.223341	0.801583
SRX9095261	TFs and others	CTCF	Pluripotent stem cell	hESC H9	49639	128/344	131/299	-1.03989	-0.223341	0.849281
SRX3722705	TFs and others	ESR1	Breast	Breast cancer cells	22697	70/344	78/299	-1.03947	-0.223341	0.780039
SRX096358	TFs and others	Epitope tags	Bone	EWS502	16890	152/344	112/299	-1.03793	-0.223341	1.17961
ERX1149097	TFs and others	CTCF	Unclassified	Unclassified	31195	102/344	108/299	-1.03722	-0.223341	0.820898
SRX395616	TFs and others	CTCF	Breast	T-47D	36670	102/344	108/299	-1.03722	-0.223341	0.820898
SRX4714479	TFs and others	CTCF	Breast	T-47D	36658	102/344	108/299	-1.03722	-0.223341	0.820898
SRX4611737	TFs and others	ESR1	Breast	MCF-7	47487	131/344	134/299	-1.03716	-0.223341	0.849727
SRX323399	TFs and others	ESR1	Breast	MCF-7	11662	35/344	44/299	-1.03703	-0.223341	0.691398
SRX5290912	TFs and others	CTCF	Lung	IMR-90	16557	35/344	44/299	-1.03703	-0.223341	0.691398
SRX625674	TFs and others	IKZF1	Blood	Pre-B ALL 	10492	35/344	44/299	-1.03703	-0.223341	0.691398
SRX1787653	TFs and others	FOXA1	Breast	MCF-7	24655	42/344	51/299	-1.03668	-0.223341	0.7158
SRX1799593	TFs and others	TBX21	Blood	Th1 Cells	36124	212/344	164/299	-1.03599	-0.223341	1.12358
SRX1552472	TFs and others	MYC	Bone	U2OS	4396	29/344	38/299	-1.03531	-0.223341	0.663326
SRX194572	TFs and others	ESR1	Breast	MCF-7	21642	29/344	38/299	-1.03531	-0.223341	0.663326
SRX9178845	TFs and others	HAP1	Blood	HAP1	3175	29/344	38/299	-1.03531	-0.223341	0.663326
SRX4611714	TFs and others	ESR1	Breast	MCF-7	48239	133/344	136/299	-1.03469	-0.223341	0.850013
SRX5576993	TFs and others	CRTC2	Lung	A549	17175	273/344	220/299	-1.03334	-0.223341	1.07858
SRX2194247	TFs and others	CEBPB	Breast	SUM 159PT	30651	71/344	79/299	-1.03334	-0.223341	0.781167
SRX9550859	TFs and others	FOXA1	Prostate	Prostate cancer	34888	210/344	162/299	-1.03326	-0.223341	1.12672
SRX018991	TFs and others	TP63	Epidermis	Keratinocytes	8867	19/344	27/299	-1.03193	-0.223341	0.611649
SRX10365536	TFs and others	ESR1	Breast	MCF-7	18431	19/344	27/299	-1.03193	-0.223341	0.611649
SRX1721488	TFs and others	ETV1	Epidermis	A-375	8343	19/344	27/299	-1.03193	-0.223341	0.611649
SRX1550250	TFs and others	MYC	Bone	U2OS	2280	15/344	23/299	-1.03155	-0.223341	0.56686
SRX212664	TFs and others	IRF1	Blood	Monocytes-CD14+	4664	15/344	23/299	-1.03155	-0.223341	0.56686
SRX2585780	TFs and others	MYC	Breast	MDA-MB-231	2328	15/344	23/299	-1.03155	-0.223341	0.56686
SRX3642946	TFs and others	PRMT1	Epidermis	Keratinocytes	10115	15/344	23/299	-1.03155	-0.223341	0.56686
SRX080395	TFs and others	CTCF	Cardiovascular	HCFaa	36212	104/344	110/299	-1.03035	-0.223341	0.821776
SRX10760631	TFs and others	BRD4	Blood	MM.1S	9937	104/344	110/299	-1.03035	-0.223341	0.821776
SRX8570928	TFs and others	HAP1	Blood	KBM-7	37191	104/344	110/299	-1.03035	-0.223341	0.821776
SRX1477657	TFs and others	Epitope tags	Lung	MRC-5	12018	58/344	36/299	-1.02891	-0.223341	1.40036
SRX182682	TFs and others	BRCA1	Breast	MCF 10A	3960	58/344	36/299	-1.02891	-0.223341	1.40036
SRX8406515	TFs and others	FOXA1	Prostate	Prostate	26434	77/344	51/299	-1.02885	-0.223341	1.3123
SRX100531	TFs and others	CTCF	Liver	Hep G2	50715	135/344	137/299	-1.02798	-0.223341	0.856497
SRX4611709	TFs and others	ESR1	Breast	MCF-7	44380	136/344	138/299	-1.02774	-0.223341	0.856589
SRX7692436	TFs and others	POLR2C	Digestive tract	HCT 116	17944	258/344	206/299	-1.02737	-0.223341	1.08859
SRX1287854	TFs and others	BRD4	Blood	MOLM-14	10216	86/344	93/299	-1.02737	-0.223341	0.803763
SRX684292	TFs and others	SUPT5H	Uterus	HeLa	20213	207/344	160/299	-1.02736	-0.223341	1.12451
SRX7030926	TFs and others	KDM4C	Breast	MCF-7	2905	50/344	30/299	-1.02714	-0.223341	1.44864
SRX6916365	TFs and others	CTCF	Kidney	iSLK	28701	72/344	80/299	-1.02712	-0.223341	0.782267
SRX2442513	TFs and others	CTCF	Blood	K-562	16298	51/344	60/299	-1.02699	-0.223341	0.738808
SRX4001483	TFs and others	BRD2	Lung	NCI-H23	4542	51/344	60/299	-1.02699	-0.223341	0.738808
SRX4001763	TFs and others	RAD21	Blood	Macrophages	23813	51/344	60/299	-1.02699	-0.223341	0.738808
SRX8841627	TFs and others	RAD21	Blood	Lymphoblasts	17999	51/344	60/299	-1.02699	-0.223341	0.738808
SRX186618	TFs and others	MAZ	Lung	IMR-90	18778	206/344	159/299	-1.02686	-0.223341	1.12612
SRX100562	TFs and others	RAD21	Liver	Hep G2	51580	138/344	140/299	-1.02686	-0.223341	0.856769
SRX2059875	TFs and others	SUPT5H	Blood	BJAB	16599	205/344	158/299	-1.02623	-0.223341	1.12774
SRX11196921	TFs and others	NELFB	Kidney	293	1737	31/344	16/299	-1.02595	-0.223341	1.68405
SRX100450	TFs and others	SIX5	Pluripotent stem cell	hESC H1	2769	36/344	20/299	-1.02467	-0.223341	1.56453
SRX736204	TFs and others	BRD4	Neural	90-8TL	3508	36/344	20/299	-1.02467	-0.223341	1.56453
SRX1041842	TFs and others	TRIM24	Prostate	LNCAP	13175	203/344	156/299	-1.02458	-0.223341	1.13106
SRX1165094	TFs and others	GABPA	Liver	Hep G2	6595	106/344	74/299	-1.02396	-0.223341	1.24505
SRX100477	TFs and others	FOXA1	Liver	Hep G2	40753	105/344	110/299	-1.02376	-0.223341	0.829678
SRX080420	TFs and others	CTCF	Blood	GM12874	20838	87/344	94/299	-1.02287	-0.223341	0.804459
SRX7368255	TFs and others	MITF	Epidermis	Hermes 3C	69558	179/344	176/299	-1.02243	-0.223341	0.884002
SRX1165093	TFs and others	GABPA	Liver	Hep G2	4342	79/344	52/299	-1.02228	-0.223341	1.32049
SRX7549664	TFs and others	TFAP2C	Pluripotent stem cell	hESC UCLA2	7741	79/344	52/299	-1.02228	-0.223341	1.32049
SRX684291	TFs and others	NELFE	Uterus	HeLa	13333	163/344	122/299	-1.01983	-0.223341	1.16129
SRX3800330	TFs and others	STAG1	Others	RT-112	32743	237/344	187/299	-1.01933	-0.223341	1.10159
SRX3031983	TFs and others	BRD4	Blood	MV-4-11	31561	146/344	147/299	-1.01909	-0.223341	0.863273
SRX10657968	TFs and others	Epitope tags	Blood	NALM-6	20915	196/344	150/299	-1.01847	-0.223341	1.13574
SRX6060974	TFs and others	KLF5	Digestive tract	ESO-26	12778	168/344	126/299	-1.01827	-0.223341	1.15891
SRX150548	TFs and others	STAT2	Blood	K-562	1241	6/344	12/299	-1.01791	-0.223341	0.434593
SRX5068571	TFs and others	SMARCC1	Gonad	BIN-67	2351	6/344	12/299	-1.01791	-0.223341	0.434593
SRX5683079	TFs and others	ESR1	Uterus	Ishikawa	4603	6/344	12/299	-1.01791	-0.223341	0.434593
SRX5930141	TFs and others	HDAC3	Muscle	RH-4	4557	6/344	12/299	-1.01791	-0.223341	0.434593
SRX7054936	TFs and others	ERG	Cardiovascular	HAEC	1456	6/344	12/299	-1.01791	-0.223341	0.434593
SRX080362	TFs and others	CTCF	Lung	HPF	33590	108/344	113/299	-1.01693	-0.223341	0.830726
SRX199889	TFs and others	CTCF	Neural	HAc	17686	52/344	61/299	-1.01665	-0.223341	0.740945
SRX2378695	TFs and others	AHR	Breast	MCF-7	14245	30/344	39/299	-1.01629	-0.223341	0.668605
SRX734409	TFs and others	AR	Prostate	CWR22Pc	30897	170/344	128/299	-1.01489	-0.223341	1.15439
SRX190355	TFs and others	E2F6	Pluripotent stem cell	hESC H1	22326	189/344	144/299	-1.01483	-0.223341	1.14081
SRX190216	TFs and others	CREB1	Blood	GM12878	24922	190/344	145/299	-1.01471	-0.223341	1.13893
SRX7692443	TFs and others	POLR2C	Breast	MCF-7	11108	180/344	136/299	-1.01447	-0.223341	1.15039
SRX4792908	TFs and others	RAD21	Breast	T-47D	25585	191/344	146/299	-1.01445	-0.223341	1.13709
SRX2188691	TFs and others	BRCA1	Bone	U2OS	875	17/344	7/299	-1.01442	-0.223341	2.11088
SRX4650918	TFs and others	SUZ12	Kidney	293	1147	17/344	7/299	-1.01442	-0.223341	2.11088
SRX5323872	TFs and others	ESR1	Breast	MCF-7	22865	62/344	70/299	-1.01407	-0.223341	0.76985
SRX3230415	TFs and others	ZNF331	Liver	Hep G2	28464	168/344	166/299	-1.01361	-0.223341	0.879658
SRX367641	TFs and others	GATA4	Digestive tract	AGS	43398	168/344	166/299	-1.01361	-0.223341	0.879658
SRX190266	TFs and others	NR2F2	Liver	Hep G2	18274	89/344	96/299	-1.01355	-0.223341	0.805808
SRX2436056	TFs and others	NEUROD1	Neural	D341 Med	17973	80/344	53/299	-1.0133	-0.223341	1.31198
